gene,log2FC,t,p,s2,s2_post,fdr
SPON2,1.0892232999999996,5.763808167114867,0.0011895232930878305,0.07142410473249268,0.0714241047322991,0.4783069503442497
MRPL24,-0.357505999999999,-5.760056962940559,0.0011935516686669902,0.007704476039583291,0.007704476040132013,0.4783069503442497
AP000345.2,1.1534199250000006,5.746557782601834,0.0012081776987982532,0.08057296372470296,0.0805729637244028,0.4783069503442497
MAPK14,0.27365574999999964,5.735681965066725,0.001220110305185973,0.004552699929124997,0.004552699929710436,0.4783069503442497
AL391335.1,0.30978570000000083,5.724392814575678,0.001232638914760768,0.005857251505745836,0.0058572515063160776,0.4783069503442497
G008684,0.6774337749999999,5.721740004497951,0.001235604247957211,0.028035444592102905,0.028035444592414784,0.4783069503442497
OR5M8,-0.6373821250000002,-5.715173921182927,0.0012429789504964847,0.024875444671872925,0.024875444672221612,0.4783069503442497
SAE1,-0.2257978749999996,-5.698736524855993,0.0012616619354036426,0.0031398763081479284,0.003139876308749825,0.4783069503442497
G051726,1.2934375000000014,5.6907001402328445,0.0012709127087024185,0.10332121103316667,0.10332121103260151,0.4783069503442497
LOC100289333,-0.9861757999999998,-5.678237271651569,0.0012854123595934337,0.060326982893605774,0.060326982893541464,0.4783069503442497
KRTAP2-3,-0.46573885000000015,-5.6641314964044325,0.0013020516250453775,0.01352222861717164,0.013522228617652588,0.4783069503442497
FLNC,-0.4959609500000006,-5.641070845312135,0.0013297861627791683,0.015459728194054998,0.015459728194513375,0.4783069503442497
G090270,-0.7420934000000008,-5.633347556353088,0.001339224970088731,0.03470675747738334,0.0347067574776175,0.4783069503442497
XLOC_009190,0.5015171499999997,5.624918504966763,0.001349613622431987,0.01589897417803499,0.01589897417848825,0.4783069503442497
RP4-565E6.1,-0.5780909750000003,-5.608506067551928,0.0013701064659030916,0.02124848576294294,0.02124848576333388,0.4783069503442497
DDX20,0.67516745,5.587663568599941,0.0013966441641773974,0.029200648059985772,0.029200648060284076,0.4783069503442497
AL359644.1,-0.34974174999999796,-5.576995306126199,0.0014104539848152546,0.007865464862458363,0.007865464863005208,0.4783069503442497
AC008667.4,0.819991925000001,5.575273286230892,0.0014126976610115926,0.0432630194004913,0.04326301940062578,0.4783069503442497
AL355432.1,0.39289850000000115,5.5629147399550085,0.0014289199289977098,0.009976677406583328,0.00997667740710558,0.4783069503442497
SLC9A7,-0.34295392500000066,-5.5486275519140955,0.001447939067924383,0.007640651698804607,0.007640651699354073,0.4783069503442497
HIGD1C,0.7040618500000004,5.545344296526262,0.0014523504165562524,0.03223996706074584,0.03223996706100874,0.4783069503442497
FKBP6,0.3864622,5.534600012023109,0.0014668937723869675,0.00975150302750998,0.009751503028034856,0.4783069503442497
NKX6-1,-0.44240257499999913,-5.491895185366176,0.001526362652901575,0.01297838962172789,0.012978389622215173,0.4783069503442497
FAM124A,-0.934347500000003,-5.485852364335381,0.001534997467228483,0.058017447796583375,0.05801744779654597,0.4783069503442497
UQCC3,0.7588867749999988,5.471608461564729,0.00155557218751883,0.03847281283228963,0.03847281283247992,0.4783069503442497
XLOC_005955,-0.5990780250000003,-5.468682212652109,0.0015598378252609645,0.024001114027056288,0.02400111402741516,0.4783069503442497
TMEM127,0.5115204999999996,5.4677878712545676,0.0015611441775056575,0.017503817151166556,0.017503817151601122,0.4783069503442497
CRISP2,-0.4765557249999999,-5.454835134351835,0.0015802044693574492,0.015264905492957928,0.015264905493418576,0.4783069503442497
G016307,-0.3417652250000005,-5.44825342190802,0.0015899910988333228,0.007869934836554548,0.007869934837101342,0.4783069503442497
BPIFB1,-0.4199794250000002,-5.441517554717557,0.0016000784839163343,0.011913680683286234,0.011913680683785921,0.4783069503442497
