config,method,celltype,n,mean_pre,mean_post,sd_pre,sd_post,median_delta,wilcoxon_p
cent12CT450k,CBS_svr_nu0.5,CD4Tmem,65,0.02903484253303874,0.020746390323562083,0.03437645592915867,0.02541567612967837,0.0,0.04886816144868859
cent12CT450k,CBS_svr_nu0.5,CD4Tnv,65,0.0063941205898861,0.008999472507093143,0.01056910710828238,0.012759443031708876,0.0,0.2064160304492133
cent12CT450k,CBS_svr_nu0.5,CD8Tmem,65,0.06888708635663468,0.05694926166515747,0.03529486944675661,0.03219434958404191,-0.008701781454206576,0.006492727211340337
cent12CT450k,CBS_svr_nu0.5,CD8Tnv,65,0.005345247972865626,0.004033654041851328,0.00940844973584415,0.00823762898405146,0.0,0.3856892363856862
cent12CT450k,CBS_svr_nu0.5,Eos,65,0.004529595331267596,0.004486500907817818,0.012464261894004514,0.019835636239652482,0.0,0.12392922503869737
cent12CT450k,CBS_svr_nu0.5,Mono,65,0.04989801962036454,0.03507949217350364,0.03702070660068591,0.03390090139326064,-0.006520687776847622,0.0012033634618476407
cent12CT450k,CBS_svr_nu0.5,NK,65,0.04724592022257625,0.04132614277129347,0.025918337917709547,0.021187119306729892,-0.004982658579900316,0.08158539624837864
cent12CT450k,CBS_svr_nu0.5,Neu,65,0.762144279646584,0.8049333462603195,0.11029488430004249,0.09205723626947099,0.020785000092109485,0.0029767536709470097
cent12CT450k,CBS_svr_nu0.5,Treg,65,0.002996076510033806,0.002711689288953553,0.005620585443247312,0.006117292843785879,0.0,0.5000851242723134
cent12CT450k,CP_nnls_norm,Baso,65,0.015732297462158183,0.011648485467687158,0.010051748622122717,0.009755192471135519,-0.0026898687512324285,0.007052676173054015
cent12CT450k,CP_nnls_norm,Bmem,65,0.008361687211288472,0.00867114728331572,0.0059859257791393845,0.006652185167004672,0.0,0.8887623436669472
cent12CT450k,CP_nnls_norm,Bnv,65,0.01632421027029728,0.01290175616893031,0.015619697372930254,0.0159066167352099,0.0,0.0969359061723603
cent12CT450k,CP_nnls_norm,CD4Tmem,65,0.024738808264727505,0.0169744062671752,0.029257705640150112,0.022218006210918802,-0.0013988781226808207,0.023704734264466763
cent12CT450k,CP_nnls_norm,CD4Tnv,65,0.009193134568088282,0.01071573312460985,0.013945662064970868,0.012996276085959489,0.0,0.4283084366757076
cent12CT450k,CP_nnls_norm,CD8Tmem,65,0.06261658192150321,0.0502122130981806,0.03460615876395935,0.02926467557859563,-0.0038876847082149196,0.005745913480002509
cent12CT450k,CP_nnls_norm,CD8Tnv,65,0.0030237306642630587,0.0023786321052127256,0.0068187775231397735,0.004823016074928884,0.0,0.49079849348995086
cent12CT450k,CP_nnls_norm,Eos,65,0.008611691858400926,0.0078817124348388,0.018411726865863082,0.02226875480865209,0.0,0.19677758436521786
cent12CT450k,CP_nnls_norm,Mono,65,0.04896514887191197,0.0349268460765971,0.032740167720548115,0.03045440016959689,-0.008043941101645833,0.0006712494881189359
cent12CT450k,CP_nnls_norm,NK,65,0.0767474273522642,0.07075374644356766,0.022956560615782533,0.022140043671678506,-0.005011429660738823,0.0208826287674215
cent12CT450k,CP_nnls_norm,Neu,65,0.7195458046476579,0.7681533897823829,0.11092672039622929,0.09594040962899357,0.03411081222085666,0.001651968095054599
cent12CT450k,CP_nnls_norm,Treg,65,0.006139476907438896,0.004781931747501976,0.008623409939690733,0.008729457509843046,0.0,0.0640472439441627
cent12CT450k,CP_penalty_K100,Baso,65,0.009289393007349343,0.006331660238836809,0.009204356532080335,0.008550986923823976,-0.001518084905080725,0.013020778497332392
cent12CT450k,CP_penalty_K100,Bmem,65,0.013492043204807706,0.013342253478493495,0.006846751330173739,0.0077595978898643055,-0.00024824848049019577,0.6612770709306977
cent12CT450k,CP_penalty_K100,Bnv,65,0.012247889463920629,0.009629605688606937,0.014075667927370725,0.013998867482451067,0.0,0.1941616029918274
cent12CT450k,CP_penalty_K100,CD4Tmem,65,0.021086230142327956,0.014931282422494484,0.02676361662882281,0.021402330861149066,0.0,0.05411025716067273
cent12CT450k,CP_penalty_K100,CD4Tnv,65,0.00490022646118553,0.005120207987219226,0.011109658777491071,0.011268752619669802,0.0,0.9616763959455763
cent12CT450k,CP_penalty_K100,CD8Tmem,65,0.06704441023990407,0.0538103585632162,0.03569620785924185,0.02980982729727649,-0.005007193337297065,0.002735445440198945
cent12CT450k,CP_penalty_K100,CD8Tnv,65,0.005004797238867859,0.004987795480246762,0.008178026446484545,0.0071739032835912,0.0,0.9956414281699145
cent12CT450k,CP_penalty_K100,Eos,65,0.010563123698314454,0.009728632171505389,0.019295347945529062,0.022991472429302016,0.0,0.20777585214546357
cent12CT450k,CP_penalty_K100,Mono,65,0.0501683064101045,0.036016350176331126,0.03274156348070393,0.030830036041175006,-0.008387892026910183,0.0005882864757625725
cent12CT450k,CP_penalty_K100,NK,65,0.08094869164528598,0.07486748940189758,0.02330261768439904,0.022011076863845375,-0.005386526330695307,0.020523636766513562
cent12CT450k,CP_penalty_K100,Neu,65,0.7162599883112911,0.7641093437343586,0.10997693716515601,0.095043030797462,0.031469748421550814,0.001615428398226135
cent12CT450k,CP_penalty_K100,Treg,65,0.008834827013072661,0.006965464077235906,0.010161423432381675,0.010091924922471818,-0.0003787025313049,0.058193336644863744
cent12CT450k,CP_penalty_K1000,Baso,65,0.009213152580116886,0.006267804038691005,0.009192141057045838,0.008541596651690658,-0.0013583773139278206,0.013246170823727824
cent12CT450k,CP_penalty_K1000,Bmem,65,0.013574505374592958,0.013413223833872164,0.006858516194225048,0.007778747139962658,-0.000253167414744699,0.6366547330863737
cent12CT450k,CP_penalty_K1000,Bnv,65,0.012183372759677732,0.009585203551586905,0.014053538243991926,0.013964619525542217,0.0,0.2008761306841198
