term,perturbagen,cell_line,time,dose,n_up,n_down,k_downNdisUP,k_upNdisDOWN,p_rev_up,p_rev_down,or_rev_up,or_rev_down,reversal_score,mimic_score,net_score,p_combined,directional,fdr,z_vs_null,emp_p,library
MPZ,mpz,,,,246,239,11,1,2.634414131212977e-09,0.582245431663141,15.25892316999395,1.1686224489795918,8.81420986298242,1.3003741689169528,7.513835694065467,3.266459897043996e-08,True,1.8223954997959932e-05,16.454369479760164,0.0003332222592469177,crispr_ko
MPZL1,mpzl1,,,,244,243,2,1,0.2752767176528112,0.5792308119191615,2.0002183882943876,1.1784979423868314,0.797378862900318,3.9592296617347804,-3.1618507988344624,0.45220188520467175,True,0.5754780024749325,0.5002139518968208,0.22892369210263244,crispr_ko
MPZL2,mpzl2,,,,248,248,2,2,0.2831876279456489,0.21467107008667716,1.9584937954642705,2.402570154733805,1.2161522031042007,3.4835128223684206,-2.26736061926422,0.23102819515274967,True,0.3433472920262707,1.3336074711648642,0.12362545818060647,crispr_ko
MPZL3,mpzl3,,,,249,240,3,0,0.08065580244264267,1.0,3.1347930208689703,0.0,1.0933643836603288,1.7458882701759295,-0.6525238865156007,0.28371198989375224,True,0.4200871850358627,1.0892495735972754,0.12529156947684106,crispr_ko
MRC1,mrc1,,,,244,242,6,2,0.0004929217604364867,0.2095196047577794,6.852442671984048,2.443348440415889,3.9859973429793754,0.684135786015223,3.3018615569641523,0.001051161117317771,True,0.011746219502558173,6.8458279669209015,0.0003332222592469177,crispr_ko
MRC2,mrc2,,,,247,247,3,1,0.08621619409357921,0.5837448770356795,3.042534337616305,1.163744918699187,1.2981880702393793,2.96457765658867,-1.6663895863492906,0.20076892239934352,True,0.3361598582797806,1.4968656193189627,0.07830723092302566,crispr_ko
MRE11,mre11,,,,244,245,1,3,0.6514775806219191,0.052679760410430335,0.9621689785624212,3.8033195020746886,1.4644567340173584,4.432455722785663,-2.967998988768305,0.15004689738336957,True,0.2799030485294036,1.8277539867170942,0.04565144951682772,crispr_ko
MREG,mreg,,,,249,247,1,4,0.6545034270279639,0.010601582918598654,0.9541380029184907,5.158057705840957,2.1587173606477053,2.6543959963136583,-0.49567863566595305,0.04142884524579931,True,0.11540734442603207,3.20938994910909,0.014661779406864379,crispr_ko
MRGPRX1,mrgprx1,,,,245,248,3,1,0.08702385207039519,0.5807407491969634,3.029784886927744,1.1735399590163935,1.2963793962610444,0.7879329302802777,0.5084464659807667,0.20139632022709414,True,0.3361598582797806,1.493266208785142,0.07997334221926025,crispr_ko
MRPL15,mrpl15,,,,247,246,3,2,0.0854118384858262,0.2133818700187406,3.0553887220553886,2.4126398946675445,1.7393244130200878,0.550358617443677,1.1889657955764108,0.0912167671889789,True,0.18915440556449553,2.3747633599154883,0.03432189270243252,crispr_ko
