perturbagen,n_signatures,n_cell_lines,median_net,max_net,min_fdr,median_z,frac_directional,n_sig_fdr05,rank_percentile
pdilt,1,1,0.7269256112423146,0.7269256112423146,0.03587908184765722,5.111208807506785,1.0,1,66.77543186180422
xcl2,1,1,0.7263171378252173,0.7263171378252173,0.15367927038777102,2.8204103808422656,1.0,0,66.75623800383876
ndufb10,1,1,0.7262473089305398,0.7262473089305398,0.3373311874841986,1.4835551090329568,1.0,0,66.73704414587331
tgfbr3,1,1,0.726061225897501,0.726061225897501,0.08291384998628717,3.8515174226548234,1.0,0,66.71785028790786
lck,1,1,0.7229236579338536,0.7229236579338536,0.11333985239362397,3.24720405331857,1.0,0,66.69865642994242
hars,1,1,0.7187529433610529,0.7187529433610529,0.33814625623370465,1.448767591393674,1.0,0,66.67946257197697
prkdc,1,1,0.7187529433610529,0.7187529433610529,0.33814625623370465,1.448767591393674,1.0,0,66.66026871401152
c10orf55,1,1,0.7187529433610529,0.7187529433610529,0.33814625623370465,1.448767591393674,1.0,0,66.64107485604606
hla-doa,1,1,0.7180598134647609,0.7180598134647609,0.15367927038777102,2.783149815080805,1.0,0,66.62188099808061
camkv,1,1,0.7172292422585855,0.7172292422585855,0.15367927038777102,2.8014796882593074,1.0,0,66.60268714011517
timd4,1,1,0.7168985553077311,0.7168985553077311,0.33814625623370465,1.44017993037043,1.0,0,66.58349328214972
il16,1,1,0.7168985553077311,0.7168985553077311,0.33814625623370465,1.44017993037043,1.0,0,66.56429942418426
cxcr1,1,1,0.7167299976220718,0.7167299976220718,0.15367927038777102,2.7853727223540186,1.0,0,66.54510556621881
thbd,1,1,0.7150517274035515,0.7150517274035515,0.33814625623370465,1.4316352397898677,1.0,0,66.52591170825336
cd40,1,1,0.7148940782037234,0.7148940782037234,0.15367927038777102,2.7715874764571753,1.0,0,66.5067178502879
scnn1a,1,1,0.7148940782037234,0.7148940782037234,0.15367927038777102,2.7715874764571753,1.0,0,66.48752399232245
prkar2a,1,1,0.714048599915029,0.714048599915029,0.15367927038777102,2.789859231764277,1.0,0,66.468330134357
nectin3,1,1,0.7135642623610341,0.7135642623610341,0.15367927038777102,2.7738103837303885,1.0,0,66.44913627639156
cd163,1,1,0.7090762618173945,0.7090762618173945,0.15367927038777102,2.7645421198220705,1.0,0,66.42994241842611
rbm47,1,1,0.7090762618173945,0.7090762618173945,0.15367927038777102,2.7645421198220705,1.0,0,66.41074856046065
