perturbagen,n_signatures,n_cell_lines,median_net,max_net,min_fdr,median_z,frac_directional,n_sig_fdr05,rank_percentile
ms4a2,1,1,-0.6344889392569193,-0.6344889392569193,0.9530678766884607,-0.7476416960360258,0.0,0,27.927063339731284
krtcap3,1,1,-0.6349812200399783,-0.6349812200399783,0.8196542026128145,0.1157979168737011,1.0,0,27.907869481765836
gcat,1,1,-0.6362924214341832,-0.6362924214341832,0.8671174995425561,-0.2976772040105618,1.0,0,27.888675623800385
ezh2,1,1,-0.6366067342855253,-0.6366067342855253,0.6750836275218425,1.095332685168385,1.0,0,27.869481765834937
dpysl2,1,1,-0.6366756398232254,-0.6366756398232254,0.6995994667070269,0.915470513765986,1.0,0,27.850287907869486
dram1,1,1,-0.6371423664248923,-0.6371423664248923,0.9883418735828189,-1.0748146655613597,0.0,0,27.831094049904024
tbk1,1,1,-0.6389167298064199,-0.6389167298064199,0.8671174995425561,-0.3082835565190703,1.0,0,27.811900191938577
mylk2,1,1,-0.6394356649002736,-0.6394356649002736,0.9881535262688218,-1.073336146108786,0.0,0,27.79270633397313
ak8,1,1,-0.6411906848163182,-0.6411906848163182,0.9248014346238744,-0.4794361775671913,1.0,0,27.773512476007678
il5,1,1,-0.641381629060283,-0.641381629060283,0.7280004351846168,0.6666652533834171,1.0,0,27.754318618042227
pdk1,1,1,-0.6414087832687482,-0.6414087832687482,0.8671174995425561,-0.31349372275202425,1.0,0,27.73512476007678
lmcd1,1,1,-0.6426365444303601,-0.6426365444303601,0.8671174995425561,-0.24307435297226443,1.0,0,27.71593090211133
neo1,1,1,-0.6434345716568232,-0.6434345716568232,0.7973332747325554,0.18540921814589725,1.0,0,27.69673704414587
cep55,1,1,-0.6434640428778553,-0.6434640428778553,0.8468653944187763,-0.08333139125298596,1.0,0,27.67754318618042
gal3st2,1,1,-0.64417437543891,-0.64417437543891,0.8671174995425561,-0.3032560822516029,1.0,0,27.65834932821497
mapk8ip1,1,1,-0.6442513570059748,-0.6442513570059748,0.8671174995425561,-0.3082835565190703,1.0,0,27.63915547024952
cox7a1,1,1,-0.6442513570059748,-0.6442513570059748,0.8671174995425561,-0.3082835565190703,1.0,0,27.619961612284072
hspa1a,1,1,-0.6449204145092255,-0.6449204145092255,0.9474613233260033,-0.6710773923070097,1.0,0,27.60076775431862
ints1,1,1,-0.6450263762006752,-0.6450263762006752,0.9785274637015098,-0.8958352837489458,0.0,0,27.581573896353163
mctp1,1,1,-0.6450994973800366,-0.6450994973800366,0.6045674769817553,1.603537780003281,1.0,0,27.562380038387712
elmo1,1,1,-0.6451738787972785,-0.6451738787972785,0.6750836275218425,1.091974269852123,1.0,0,27.543186180422264
