term,perturbagen,cell_line,time,dose,n_up,n_down,k_downNdisUP,k_upNdisDOWN,p_rev_up,p_rev_down,or_rev_up,or_rev_down,reversal_score,mimic_score,net_score,p_combined,directional,fdr,z_vs_null,emp_p,library
CPC005 MCF7 24H-salubrinal-10.0,salubrinal,MCF7,24H,10.0,20,15,1,0,0.17420818834684237,1.0,5.624338624338624,0.0,0.7589314356069268,-0.0,0.7589314356069268,0.4786377309400268,True,1.0,0.5012510554215232,0.24358547150949683,chem
CPC005 MCF7 24H-cercosporin-10.0,cercosporin,MCF7,24H,10.0,84,36,1,3,0.36880667214133844,0.2799624355993186,2.2423280423280425,1.6656008526512123,0.9861014675501965,-0.0,0.9861014675501965,0.33769423478969196,True,1.0,0.9369526051713224,0.15694768410529825,chem
CPC005 MCF7 24H-simvastatin-10.0,simvastatin,MCF7,24H,10.0,23,11,0,1,1.0,0.40008827198770297,0.0,2.0341715022566085,0.3978441791525614,-0.0,0.3978441791525614,0.7665971658146649,True,1.0,-0.19129749900822096,0.47784071976007997,chem
CPC005 MCF7 24H-thioridazine hydrochloride-10.0,thioridazine hydrochloride,MCF7,24H,10.0,27,15,0,1,1.0,0.4512024049980868,0.0,1.7201309328968903,0.3456285941430332,-0.0,0.3456285941430332,0.8102869879520673,True,1.0,-0.2914445611674814,0.5174941686104632,chem
"CPC005 MCF7 24H-tamoxifen, 4-hydroxy-, (z)--10.0","tamoxifen, 4-hydroxy-, (z)-",MCF7,24H,10.0,32,14,1,0,0.16359123498284758,1.0,6.0579297245963915,0.0,0.786239969005513,-0.0,0.786239969005513,0.45975426003169206,True,1.0,0.5536275516581812,0.23092302565811396,chem
CPC005 MCF7 24H-gsk-3 inhibitor ii-10.0,gsk-3 inhibitor ii,MCF7,24H,10.0,14,8,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
"CPC005 MCF7 24H-l-741,742 hydrochloride-10.0","l-741,742 hydrochloride",MCF7,24H,10.0,11,11,0,0,1.0,1.0,0.0,0.0,-0.0,0.6642834066948583,-0.6642834066948583,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 24H-indirubin-10.0,indirubin,MCF7,24H,10.0,26,4,0,1,1.0,0.4388444509082874,0.0,1.7892198581560284,0.35768938883102475,-0.0,0.35768938883102475,0.800281240870174,True,1.0,-0.26831251821348673,0.5091636121292903,chem
CPC005 MCF7 24H-digitoxigenin-10.0,digitoxigenin,MCF7,24H,10.0,71,63,0,1,1.0,0.7947056866867112,0.0,0.6344478216818642,0.09979367928482703,0.2236815529786425,-0.12388787369381547,0.977315891807183,False,1.0,-0.7629444877646601,0.7220926357880706,chem
CPC005 MCF7 24H-phenamil-10.0,phenamil,MCF7,24H,10.0,23,11,0,1,1.0,0.40008827198770297,0.0,2.0341715022566085,0.3978441791525614,-0.0,0.3978441791525614,0.7665971658146649,True,1.0,-0.19129749900822096,0.47784071976007997,chem
CPC005 MCF7 24H-mitoxantrone dihydrochloride-10.0,mitoxantrone dihydrochloride,MCF7,24H,10.0,25,52,1,1,0.4859747478827887,0.42621022100959977,1.5349794238683128,1.864066193853428,0.6837624364870615,1.0629190466178153,-0.37915661013075386,0.5332331803950646,True,1.0,0.35708041315192374,0.2782405864711763,chem
CPC005 MCF7 24H-ly-294002-10.0,ly-294002,MCF7,24H,10.0,14,7,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 24H-BRD-K31342827-10.0,brd-k31342827,MCF7,24H,10.0,16,12,0,1,1.0,0.2990120381303704,0.0,2.986761229314421,0.5243113267647002,-0.0,0.5243113267647002,0.6600007335052211,True,1.0,0.051260604874098746,0.3822059313562146,chem
CPC005 MCF7 24H-chelidonine (+)-10.0,chelidonine (+),MCF7,24H,10.0,25,16,0,1,1.0,0.42621022100959977,0.0,1.864066193853428,0.3703761396174927,-0.0,0.3703761396174927,0.789691920411482,True,1.0,-0.24397992059192203,0.4971676107964012,chem
CPC005 MCF7 24H-gw 5074-10.0,gw 5074,MCF7,24H,10.0,14,8,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 24H-rlm-1-127-10.0,rlm-1-127,MCF7,24H,10.0,18,4,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 24H-ki 8751-10.0,ki 8751,MCF7,24H,10.0,18,14,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 24H-cgs 15943-10.0,cgs 15943,MCF7,24H,10.0,57,43,2,1,0.1026086474695751,0.7190863678527015,3.872560975609756,0.7948328267477204,1.1320349813289152,0.9000970616436976,0.2319379196852176,0.26611161129722355,True,1.0,1.2168462934800863,0.1169610129956681,chem
CPC005 MCF7 24H-bibu 1361 dihydrochloride-10.0,bibu 1361 dihydrochloride,MCF7,24H,10.0,16,2,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 24H-e6 berbamine-10.0,e6 berbamine,MCF7,24H,10.0,11,5,0,1,1.0,0.21662899918732118,0.0,4.483687943262411,0.6642834066948583,-0.0,0.6642834066948583,0.5479780159614023,True,1.0,0.31972054048084503,0.2882372542485838,chem
CPC005 MCF7 24H-purvalanol a-10.0,purvalanol a,MCF7,24H,10.0,24,47,2,0,0.1189984689319847,1.0,3.526111111111111,0.0,0.924458626327369,-0.0,0.924458626327369,0.37230392342870905,True,1.0,0.8187245042989597,0.1752749083638787,chem
CPC005 MCF7 24H-pac 1-10.0,pac 1,MCF7,24H,10.0,60,25,0,1,1.0,0.7373282957339664,0.0,0.7540569780021638,0.13233909927834112,1.3980053220955688,-1.2656662228172277,0.9620084761089149,False,1.0,-0.7005238867411354,0.692102632455848,chem
CPC005 MCF7 24H-indirubin-3-oxime-10.0,indirubin-3-oxime,MCF7,24H,10.0,19,8,0,1,1.0,0.3442500519831315,0.0,2.487785657998424,0.463125985490834,-0.0,0.463125985490834,0.7113538288519228,True,1.0,-0.0660900323862384,0.42919026991003,chem
CPC005 MCF7 24H-cmpd-1-10.0,cmpd-1,MCF7,24H,10.0,17,15,1,1,0.17420818834684237,0.31442552382028793,5.624338624338624,2.799645390070922,1.2614136425004228,0.5478231629924638,0.713590479507959,0.21387161412810152,True,1.0,1.4649885448799418,0.09296901032989004,chem
CPC005 MCF7 24H-calcipotriol-10.0,calcipotriol,MCF7,24H,10.0,24,16,0,0,1.0,1.0,0.0,0.0,-0.0,0.5243113267647002,-0.5243113267647002,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 24H-ro 90-7501-10.0,ro 90-7501,MCF7,24H,10.0,31,15,0,1,1.0,0.49798952875506386,0.0,1.4898345153664303,0.3027797890710162,-0.0,0.3027797890710162,0.8451759903818608,True,1.0,-0.37362657529629517,0.5541486171276241,chem
CPC005 MCF7 24H-ethacrynic acid-10.0,ethacrynic acid,MCF7,24H,10.0,42,45,1,0,0.4376233415150166,1.0,1.7811447811447811,0.0,0.3588995220932153,-0.0,0.3588995220932153,0.7992738221710531,True,1.0,-0.2659915389310087,0.506164611796068,chem
CPC005 MCF7 24H-mbcq-10.0,mbcq,MCF7,24H,10.0,27,12,0,0,1.0,1.0,0.0,0.0,-0.0,0.5350873381206043,-0.5350873381206043,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 24H-manumycin a-10.0,manumycin a,MCF7,24H,10.0,33,48,1,0,0.4588721505929316,1.0,1.6666666666666667,0.0,0.338308299269452,-0.0,0.338308299269452,0.8163260518464907,True,1.0,-0.30548454607993386,0.5238253915361546,chem
CPC005 MCF7 24H-vorinostat-10.0,vorinostat,MCF7,24H,10.0,118,119,2,3,0.4472225380878544,0.4815714967214395,1.3408119658119657,1.1667813575226775,0.6668155440342798,0.6851777314813551,-0.018362187447075295,0.5460480514762238,True,1.0,0.3245770620630614,0.2855714761746085,chem
CPC005 MCF7 24H-bmy 45778-10.0,bmy 45778,MCF7,24H,10.0,8,13,0,0,1.0,1.0,0.0,0.0,-0.0,1.0132348265699376,-1.0132348265699376,1.0,False,1.0,-0.9543441206638258,1.0,chem
"CPC005 MCF7 24H-vegf receptor 3 kinase inhibitor, maz51-10.0","vegf receptor 3 kinase inhibitor, maz51",MCF7,24H,10.0,21,23,0,2,1.0,0.0764689218968299,0.0,4.746616541353384,1.1165150327031619,0.3978441791525614,0.7186708535506006,0.2730606456927459,True,1.0,1.1870797542476288,0.12062645784738421,chem
CPC005 MCF7 6H-ethinyl estradiol-10.0,ethinyl estradiol,MCF7,6H,10.0,27,18,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 6H-rhodomyrtoxin b-10.0,rhodomyrtoxin b,MCF7,6H,10.0,48,21,1,2,0.2351709230317128,0.2839095009713827,3.933333333333333,1.9521739130434783,1.175436449908316,-0.0,1.175436449908316,0.24747568106075823,True,1.0,1.3000882904974769,0.10763078973675441,chem
CPC005 MCF7 6H-homatropine bromide-10.0,homatropine bromide,MCF7,6H,10.0,26,30,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 6H-nor-binaltorphimine dihydrochloride-10.0,nor-binaltorphimine dihydrochloride,MCF7,6H,10.0,9,14,0,0,1.0,1.0,0.0,0.0,-0.0,0.5732524250499975,-0.5732524250499975,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 6H-fluorometholone-10.0,fluorometholone,MCF7,6H,10.0,5,10,0,0,1.0,1.0,0.0,0.0,-0.0,0.701073797866221,-0.701073797866221,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 6H-fluocinonide-10.0,fluocinonide,MCF7,6H,10.0,10,9,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 6H-ethopropazine hydrochloride-10.0,ethopropazine hydrochloride,MCF7,6H,10.0,18,8,0,0,1.0,1.0,0.0,0.0,-0.0,0.6876813615975087,-0.6876813615975087,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 6H-etoposide-10.0,etoposide,MCF7,6H,10.0,43,45,2,0,0.11072197576051265,1.0,3.691279069767442,0.0,0.9557661731200451,0.5861092039626837,0.36965696915736135,0.35439147528800174,True,1.0,0.8787709221285782,0.1692769076974342,chem
CPC005 MCF7 6H-trichostatin a-10.0,trichostatin a,MCF7,6H,10.0,189,122,0,4,1.0,0.5999859075905625,0.0,0.9631022326674501,0.22185895016224114,0.06863706946511346,0.15322188069712767,0.9064881753302552,False,1.0,-0.5288289786151089,0.6214595134955015,chem
CPC005 MCF7 6H-geldanamycin-10.0,geldanamycin,MCF7,6H,10.0,115,48,0,1,1.0,0.9237282240319958,0.0,0.38683588403633196,0.03445578653401987,0.9318139446802106,-0.8973581581461907,0.9970144015657597,False,1.0,-0.8882595255158632,0.7550816394535155,chem
CPC005 MCF7 6H-bvt 948-10.0,bvt 948,MCF7,6H,10.0,24,10,0,2,1.0,0.09636610431010836,0.0,4.097402597402597,1.0160756974218452,-0.0,1.0160756974218452,0.32182431463692596,True,1.0,0.9944417831932523,0.1486171276241253,chem
CPC005 MCF7 6H-cyclopiazonic acid-10.0,cyclopiazonic acid,MCF7,6H,10.0,12,11,0,3,1.0,0.0019656656160541106,0.0,15.16306954436451,2.7064903590643032,-0.0,2.7064903590643032,0.014215545042751033,True,1.0,4.236578439586949,0.002999000333222259,chem
CPC005 MCF7 6H-metergoline-10.0,metergoline,MCF7,6H,10.0,28,6,0,2,1.0,0.12483510559722781,0.0,3.464835164835165,0.9036632670315768,-0.0,0.9036632670315768,0.38458719563035254,True,1.0,0.7788399728963177,0.18327224258580474,chem
CPC005 MCF7 6H-prozac-10.0,prozac,MCF7,6H,10.0,18,17,0,1,1.0,0.329502428825324,0.0,2.634543178973717,0.4821413797906146,-0.0,0.4821413797906146,0.6953066522222757,True,1.0,-0.029619391014022094,0.41686104631789406,chem
CPC005 MCF7 6H-sotalol hydrochloride-10.0,sotalol hydrochloride,MCF7,6H,10.0,20,9,0,1,1.0,0.35867553496041954,0.0,2.356476297125793,0.44529824527564915,-0.0,0.44529824527564915,0.7264388683586092,True,1.0,-0.10028280849251912,0.4428523825391536,chem
