gene,chrom,n_snps,min_p,score
LDLRAD3,11,1542,0.000536513,3.270419750380484
LDLRAD4,18,1988,5.07598e-06,5.294480097748876
LDLRAD4-AS1,18,102,0.088638,1.052380051789416
LDLRAP1,1,145,0.0156834,1.804559780862619
LEAP2,5,90,0.00579896,2.2366498869129656
LECT2,5,167,0.0228755,1.640629404589698
LEF1,4,469,0.0158322,1.8004587325492754
LEF1-AS1,4,86,0.0158322,1.8004587325492754
LEFTY1,1,141,0.0561423,1.2507097994527832
LEFTY2,1,71,0.0163772,1.7857603472944585
LEKR1,3,1004,0.000165314,3.7816903656343315
LELP1,1,96,0.0022906,2.640050743617134
LEMD1,1,264,0.00811129,2.0909100711489312
LEMD1-AS1,1,150,0.0116161,1.9349396578990388
LEMD1-DT,1,149,0.0177893,1.749841140849099
LEMD2,6,265,0.0158271,1.800598653638931
LEMD3,12,244,0.00257057,2.589970565226317
LENEP,1,46,0.000144551,3.839978899545176
LENG1,19,111,0.0199209,1.7006910446169288
LENG8,19,222,0.00222905,2.6518801897160156
LENG8-AS1,19,173,0.00222905,2.6518801897160156
LENG9,19,125,0.00402374,2.395370089635368
LEO1,15,228,0.010382,1.9837189754571696
LEP,7,160,1.99692e-05,4.699639333353877
LEPR,1,967,0.000167236,3.7766702285809783
